ReviewID,DestinationID_x,UserID,Rating,ReviewText,Name_x,State,Type,Popularity,BestTimeToVisit,HistoryID,DestinationID_y,VisitDate,ExperienceRating,Name_y,Email,Preferences,Gender,NumberOfAdults,NumberOfChildren
1,178,327,2,Incredible monument!,Jaipur City,Rajasthan,City,8.544351694,Oct-Mar,79,175,01-01-2024,3,Pooja,pooja@example.com,"City, Historical",Female,1,1
2,411,783,1,Loved the beaches!,Taj Mahal,Uttar Pradesh,Historical,8.284126728,Nov-Feb,834,894,20-03-2024,2,Karan,karan@example.com,"City, Historical",Male,1,1
4,358,959,3,Incredible monument!,Jaipur City,Rajasthan,City,7.738761293,Oct-Mar,998,660,15-02-2024,4,Ritvik,ritvik@example.com,"Nature, Adventure",Male,1,1
5,989,353,2,Loved the beaches!,Kerala Backwaters,Kerala,Nature,8.208087955,Sep-Mar,202,894,01-01-2024,5,Isha,isha@example.com,"Nature, Adventure",Female,2,0
6,473,408,4,A historical wonder,Jaipur City,Rajasthan,City,8.138557734,Oct-Mar,331,403,01-01-2024,2,Ishaan,ishaan@example.com,"City, Historical",Male,2,0
7,977,735,3,Incredible monument!,Goa Beaches,Goa,Beach,8.499576396,Nov-Mar,280,7,01-01-2024,3,Riya,riya@example.com,"City, Historical",Female,1,0
9,698,330,2,A historical wonder,Jaipur City,Rajasthan,City,8.305889899,Oct-Mar,19,208,01-01-2024,3,Aanya,aanya@example.com,"City, Historical",Female,2,1
10,919,109,5,Incredible monument!,Kerala Backwaters,Kerala,Nature,9.252136618,Sep-Mar,249,405,20-03-2024,5,Meera,meera@example.com,"Beaches, Historical",Female,2,0
11,253,386,4,Loved the beaches!,Jaipur City,Rajasthan,City,8.125034099,Oct-Mar,811,290,01-01-2024,4,Hitesh,hitesh@example.com,"Nature, Adventure",Male,2,0
12,305,813,2,A historical wonder,Leh Ladakh,Jammu and Kashmir,Adventure,8.111872494,Apr-Jun,890,441,15-02-2024,2,Aditya,aditya@example.com,"City, Historical",Male,1,2
14,300,626,1,Loved the beaches!,Leh Ladakh,Jammu and Kashmir,Adventure,7.799198882,Apr-Jun,918,952,20-03-2024,4,Rohan,rohan@example.com,"Nature, Adventure",Male,2,0
